"icao","iata","name","city","subd","country","elevation","lat","lon","tz","lid"
"04CA","","Gray Butte Field","Palmdale","California","US",3039,34.566645,-117.670772,"America/Los_Angeles","04CA"
"04CL","","Desert Wings Sky Ranch Airport","Julian","California","US",2310,33.081711,-116.441404,"America/Los_Angeles","04CL"
"04FA","","Richards Field","Homestead","Florida","US",9,25.558719,-80.515057,"America/New_York","04FA"
"04FL","","Cross Creek Farms Airport","Ormond","Florida","US",30,29.239425,-81.222005,"America/New_York","04FL"
"04IA","","Middlekoop Airport","Packwood","Iowa","US",801,41.08835,-92.05462,"America/Chicago","04IA"
"04ID","","Lanham Field","Emmett","Idaho","US",2343,43.877664,-116.537081,"America/Boise","04ID"
"04IL","","Full Throttle Airport","Hudson","Illinois","US",755,40.637535,-89.007019,"America/Chicago","04IL"
"04IS","","Van Gorder Airport","Mansfield","Illinois","US",728,40.178645,-88.568952,"America/Chicago","04IS"
"04KS","","Kraemer Airfield","Minneola","Kansas","US",2551,37.398547,-100.037094,"America/Chicago","04KS"
"04KY","","Natchez Trace Farm Airport","Hiseville","Kentucky","US",710,37.135054,-85.789416,"America/Chicago","04KY"
"04MA","","Goddard Airport","Haverhill","Massachusetts","US",200,42.809811,-71.139225,"America/New_York","04MA"
"04ME","","Beech Hill Airport","Mercer","Maine","US",625,44.666729,-69.893944,"America/New_York","04ME"
"04MI","","Rapids Airway Airport","Eaton Rapids","Michigan","US",880,42.534481,-84.628313,"America/Detroit","04MI"
"04MN","","Helblad Airport","Kelliher","Minnesota","US",1195,47.985792,-94.686918,"America/Chicago","04MN"
"04MS","","Nicks Flying Service Inc Airport","Rolling Fork","Mississippi","US",100,32.939572,-90.837322,"America/Chicago","04MS"
"04MT","","Pluhar Airport","Cohagen","Montana","US",2715,47.137498,-106.488095,"America/Denver","04MT"
"04NE","","Mc Connell Field","Sarben","Nebraska","US",3035,41.159993,-101.299053,"America/Denver","04NE"
"04NJ","","Emmanuel Airport","Elmer","New Jersey","US",155,39.596781,-75.233519,"America/New_York","04NJ"
"04NV","","Kingston Ranch Airport","Sandy Valley","Nevada","US",2620,35.755531,-115.664728,"America/Los_Angeles","04NV"
"04NY","","Klaverack Airport","Hudson","New York","US",250,42.262309,-73.696233,"America/New_York","04NY"
"04OR","","Collins Landing Strip","Mitchell","Oregon","US",1500,44.749855,-120.201129,"America/Los_Angeles","04OR"
"04TN","","Hensley Airpark","Chuckey","Tennessee","US",1430,36.183333,-82.678889,"America/New_York","04TN"
"04TT","","Brushy Creek Ranch Airport","Utopia","Texas","US",1550.5,29.713696,-99.545623,"America/Chicago","04TT"
"04TX","","Pocock Airport","China Spring","Texas","US",565,31.732222,-97.368889,"America/Chicago","04TX"
"04UT","","Navajo Mountain Airport","Navajo Mountain Trdng Post","Utah","US",6160,37.00833,-110.795137,"America/Denver","04UT"
"04VT","","Lightning Bolt Field","Cabot","Vermont","US",2156,44.401111,-72.263611,"America/New_York","04VT"
"04WA","","Ox Meadows Airport","Spokane","Washington","US",2345,47.581836,-117.437152,"America/Los_Angeles","04WA"
"04WI","","Dutch Gap Airstrip","Bristol","Wisconsin","US",760,42.523353,-88.016748,"America/Chicago","04WI"
"04WN","","Stillwater Creek Airport","Royal City","Washington","US",1510,46.958358,-119.638819,"America/Los_Angeles","04WN"
